NO,REC_CREATE_TIME,REC_CREATOR,REC_REVISE_TIME,REC_REVISOR,ARCHIVE_FLAG,WORKSHEET_NO,WHOLE_BACKLOG_CODE,UNIT_CODE,SG_SIGN,SG_STD,LACK_WT,OUT_THICK,OUT_WIDTH,BEGIN_TIME,FINISH_TIME,最早开始时间,最晚开始时间,ORDER_NO,STATUS
358,,,,,,G16A551A01-4,IA,Z101,TL1438,JX1466-2013-03,100,82,0,20161027182436,20161027191554,20161026005630,20161030070451,G16A551A01,1
187,,,,,,G16A820A05-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.318,75,0,20161027191554,20161027191634,20161026000044,20161125235912,G16A820A05,1
188,,,,,,G16A820A06-1,IA,Z101,12Cr1MoV,JX1304-2011-01,1.636,75,0,20161027191634,20161027191724,20161026000055,20161125235900,G16A820A06,1
189,,,,,,G16A518A01-1,IA,Z101,DFS5218SH2,JX1672-2013-02,0.442,75,0,20161027191724,20161027191737,20161026000014,20161030174251,G16A518A01,1
190,,,,,,GW64086A06-1,IA,Z101,SKF3,XCJS-586-2013-01,50,75,0,20161027191737,20161027194316,20161026002815,20161102103447,GW64086A06,1
657,,,,,,G16A437B01-3,IA,Z101,38MnVS6,JX1221-2013-02,100,75,0,20161027194316,20161027203434,20161026005630,20161113214035,G16A437B01,1
320,,,,,,G16A476A03-2,IA,Z101,S30CKS1,EJX507-2016-04,93,98,0,20161027203434,20161027212217,20161026013731,20161125174810,G16A476A03,1
817,,,,,,G169399A04-1,IA,Z101,R30Mn2,QB/XCT002-2008-04,30,98,0,20161027212217,20161027213740,20161026001657,20161108230450,G169399A04,1
317,,,,,,G16A476A03-1,IA,Z101,S30CKS1,EJX507-2016-04,107,98,0,20161027213740,20161027223234,20161026015212,20161125165212,G16A476A03,1
816,,,,,,G169915A01-1,IA,Z101,C38Mod,JX2839-2016-01,0.546,97,0,20161027223234,20161027223250,20161026000018,20161108153447,G169915A01,1
427,,,,,,G16A535A01-3,IA,Z101,38MnS6BY,XCJS-472-2015-03,100,95,0,20161027223250,20161027232408,20161026005630,20161030184450,G16A535A01,1
428,,,,,,G16A535A01-4,IA,Z101,38MnS6BY,XCJS-472-2015-03,100,95,0,20161027232408,20161028001526,20161026005630,20161030201744,G16A535A01,1
429,,,,,,G16A535A01-5,IA,Z101,38MnS6BY,XCJS-472-2015-03,100,95,0,20161028001526,20161028010644,20161026005630,20161030215038,G16A535A01,1
430,,,,,,G16A381A12-1,IA,Z101,GCr15,XCJS-451-2011-01,100,95,0,20161028010644,20161028015802,20161026005630,20161125225923,G16A381A12,1
347,,,,,,G16A914A01-1,IA,Z101,20CrMoH,JX484-2010-05,18,80,0,20161028015802,20161028020716,20161026000000,20161125234905,G16A914A01,1
432,,,,,,GW64094A02-1,IA,Z101,41CrS4-hay1,XCJS-201-2016-06,100,95,0,20161028020716,20161028025834,20161026005630,20161102131436,GW64094A02,1
434,,,,,,G16A310A01-1,IA,Z101,TL1438,JX1457-2016-02,100,95,0,20161028025834,20161028034952,20161026005630,20161106122251,G16A310A01,1
435,,,,,,G16A310A01-2,IA,Z101,TL1438,JX1457-2016-02,100,95,0,20161028034952,20161028044110,20161026005630,20161106135546,G16A310A01,1
436,,,,,,G16A310A01-3,IA,Z101,TL1438,JX1457-2016-02,100,95,0,20161028044110,20161028053228,20161026005630,20161106152840,G16A310A01,1
437,,,,,,G169851A01-1,IA,Z101,38MnS6BY,XCJS-472-2015-03,38.858,95,0,20161028053228,20161028055224,20161026002157,20161108150019,G169851A01,1
438,,,,,,G169399A03-1,IA,Z101,R30Mn2,QB/XCT002-2008-04,30,95,0,20161028055224,20161028060747,20161026001657,20161108223658,G169399A03,1
421,,,,,,G16A551A03-1,IA,Z101,TL1438,JX1466-2013-03,100,95,0,20161028060747,20161028065905,20161026005630,20161029232538,G16A551A03,1
422,,,,,,G16A551A03-2,IA,Z101,TL1438,JX1466-2013-03,100,95,0,20161028065905,20161028075023,20161026005630,20161029215244,G16A551A03,1
423,,,,,,G16A551A03-3,IA,Z101,TL1438,JX1466-2013-03,100,95,0,20161028075023,20161028084141,20161026005630,20161029201950,G16A551A03,1
